"Locality","Year","TotalPoundsDistributed"
"King William County",2021,128723
"King and Queen",2019,635365
"King and Queen",2020,948233
"King and Queen",2021,756748
"King and Queen County",2019,3919610
"King and Queen County",2020,3512741
"King and Queen County",2021,1145798
"Lancaster County",2019,893916
"Lancaster County",2020,899964
"Lancaster County",2021,340308
"Lee County",2019,313660.87
"Lee County",2020,340823.57
"Lee County",2021,182476.42
"Lexington City",2019,503710.14
"Lexington City",2020,603436.97
"Lexington City",2021,251200.54
"Loudoun County",2019,2172615.05
"Loudoun County",2020,2645472.49
"Loudoun County",2021,1200843.34
"Louisa County",2019,1231479
"Louisa County",2020,755194
"Louisa County",2021,111588
"Lunenburg County",2019,917202
"Lunenburg County",2020,1087715
"Lunenburg County",2021,888734
"Lynchburg City",2019,1899148.36
"Lynchburg City",2020,2423459.9
"Lynchburg City",2021,1165744.71
"Madison County",2019,306111.73
"Madison County",2020,387859.26
"Madison County",2021,192301.03
"Manassas City",2019,149376
"Martinsville City",2019,164200
"Martinsville City",2020,197906.67
"Martinsville City",2021,140301.04
"Mathews County",2019,310689
"Mathews County",2020,140278
"Mecklenburg County",2019,181779
"Mecklenburg County",2020,146132
"Mecklenburg County",2021,51774
"Middlesex County",2019,139100
"Middlesex County",2020,131232
"Middlesex County",2021,49886
"Montgomery County",2019,554166.25
"Montgomery County",2020,673510.77
"Montgomery County",2021,285513.3
"Nelson County",2019,448047.62
"Nelson County",2020,516625.47
"Nelson County",2021,310887.73
"New Kent County",2019,0
"New Kent County",2020,0
"New Kent County",2021,0
"Newport News City",2019,4531014
"Newport News City",2020,2217855
"Norfolk City",2019,5583919.125
"Norfolk City",2020,2935683
"Northampton County",2019,142988
"Northampton County",2020,96572
"Northumberland County",2019,980259
"Northumberland County",2020,1040315
"Northumberland County",2021,613712
"Norton City",2019,296526.46
"Norton City",2020,323834.07
"Norton City",2021,219371.75
"Nottoway County",2019,330311
"Nottoway County",2020,378379
"Nottoway County",2021,114183
"Orange County",2019,679126.34
"Orange County",2020,502571.71
"Orange County",2021,191740.16
"PAGE COUNTY",2019,522522.81
"PAGE COUNTY",2020,584478.92
"PAGE COUNTY",2021,282483.84
"Patrick County",2019,197044.68
"Patrick County",2020,303662
"Patrick County",2021,151774.52
"Petersburg City",2019,123856
"Petersburg City",2020,78405
"Petersburg City",2021,35073
"Pittsylvania County",2019,271929.66
"Pittsylvania County",2020,313581.43
"Pittsylvania County",2021,239757.11
"Poquoson City",2019,118172
"Poquoson City",2020,60759
"Portsmouth City",2019,1358911
"Portsmouth City",2020,488981
"Powhatan County",2019,1336978
"Powhatan County",2020,1486946
"Powhatan County",2021,663432
"Prince Edward County",2019,407200
"Prince Edward County",2020,460961
"Prince Edward County",2021,305963
"Prince George County",2019,526974
"Prince George County",2020,207442
"Prince George County",2021,54117
"Prince William County",2019,3301152.34081667
"Prince William County",2020,7847597.44027687
"Prince William County",2021,6734715.20016793
"Pulaski County",2019,328541.97
"Pulaski County",2020,314673.59
"Pulaski County",2021,241513.2
"Radford City",2019,330580.74
"Radford City",2020,270190.35
"Radford City",2021,180815.08
"Rappahannock County",2019,455238.49
"Rappahannock County",2020,401410.84
"Rappahannock County",2021,96753.82
"Richmond City",2019,760826
"Richmond City",2020,596974
"Richmond City",2021,140529
"Richmond County",2019,14833433
"Richmond County",2020,5899286
"Richmond County",2021,3223387
"Roanoke City",2019,3567947.09
"Roanoke City",2020,4510509.37
"Roanoke City",2021,3018165.15
"Roanoke County",2019,161408.19
"Roanoke County",2020,330350.15
"Roanoke County",2021,141707.44
"Rockbridge County",2019,189356.01
"Rockbridge County",2020,120368.1
"Rockbridge County",2021,35969.42
"Rockingham County",2019,1015502.97
"Rockingham County",2020,1219906.84
"Rockingham County",2021,508275.23
"Russell County",2019,531687.03
"Russell County",2020,424996.18
"Russell County",2021,353193.79
"STAUNTON CITY",2019,290763.58
"STAUNTON CITY",2020,310418.6
"STAUNTON CITY",2021,155092.5
"Salem City",2019,327901.18
"Salem City",2020,577516.3
"Salem City",2021,234424.66
"Scott County",2019,316239.55
"Scott County",2020,326168.39
"Scott County",2021,231681.29
"Shenandoah County",2019,1037063.13
"Shenandoah County",2020,940232.73
"Shenandoah County",2021,412205.34
"Smyth County",2019,1410210.31
"Smyth County",2020,1307465.79
"Smyth County",2021,1047390.12
"Southampton County",2019,237076
"Southampton County",2020,121614
"Spotsylvania County",2019,1834737
"Spotsylvania County",2020,1579508.61
"Stafford County",2019,655335
"Stafford County",2020,310134.82
"Suffolk City",2019,819441
"Suffolk City",2020,405583
"Surry County",2019,337318
"Surry County",2020,126052
"Sussex County",2019,260376
"Sussex County",2020,161844
"Sussex County",2021,46903
"Tazewell County",2019,907150.44
"Tazewell County",2020,718804.22
"Tazewell County",2021,475737.11
"Virginia Beach City",2019,3430184
"Virginia Beach City",2020,1473854
"Warren County",2019,634000.91
"Warren County",2020,426577.64
"Warren County",2021,179308.95
"Washington County",2019,949044.08
"Washington County",2020,1046865.54
"Washington County",2021,731216.18
"Washington DC",2019,224064
